sub_region_2,variable,value
Broken Hill City Council,transit_stations_percent_change_from_baseline,
Burwood Council,transit_stations_percent_change_from_baseline,-26.0
Byron Shire Council,transit_stations_percent_change_from_baseline,
Cabonne Shire Council,transit_stations_percent_change_from_baseline,
Camden Council,transit_stations_percent_change_from_baseline,-20.0
Campbelltown City Council,transit_stations_percent_change_from_baseline,-11.0
Canterbury City Council,transit_stations_percent_change_from_baseline,-18.0
Cessnock City Council,transit_stations_percent_change_from_baseline,-23.0
City of Albury,transit_stations_percent_change_from_baseline,-23.0
City of Blacktown,transit_stations_percent_change_from_baseline,-14.0
City of Canada Bay Council,transit_stations_percent_change_from_baseline,-26.0
City of Lake Macquarie,transit_stations_percent_change_from_baseline,-28.0
City of Liverpool,transit_stations_percent_change_from_baseline,-3.0
City of Parramatta Council,transit_stations_percent_change_from_baseline,-18.0
City of Ryde,transit_stations_percent_change_from_baseline,-12.0
City of Shoalhaven,transit_stations_percent_change_from_baseline,-16.0
City of Willoughby,transit_stations_percent_change_from_baseline,-21.0
Clarence Valley Council,transit_stations_percent_change_from_baseline,-11.0
Coffs Harbour City Council,transit_stations_percent_change_from_baseline,-26.0
Cooma-Monaro Council,transit_stations_percent_change_from_baseline,
Corowa Shire Council,transit_stations_percent_change_from_baseline,
Council of the City of Sydney,transit_stations_percent_change_from_baseline,-32.0
Cowra Shire Council,transit_stations_percent_change_from_baseline,
Cumberland Council,transit_stations_percent_change_from_baseline,-19.0
Dubbo City Council,transit_stations_percent_change_from_baseline,
Eurobodalla Shire Council,transit_stations_percent_change_from_baseline,
Fairfield City Council,transit_stations_percent_change_from_baseline,-12.0
Goulburn Mulwaree Council,transit_stations_percent_change_from_baseline,
Griffith City Council,transit_stations_percent_change_from_baseline,
Gunnedah Shire Council,transit_stations_percent_change_from_baseline,
Hawkesbury City Council,transit_stations_percent_change_from_baseline,-18.0
Hurstville City Council,transit_stations_percent_change_from_baseline,-9.0
Inner West Council,transit_stations_percent_change_from_baseline,-25.0
Inverell Shire Council,transit_stations_percent_change_from_baseline,
Kempsey Shire Council,transit_stations_percent_change_from_baseline,
Kogarah City Council,transit_stations_percent_change_from_baseline,-22.0
Ku-ring-gai Council,transit_stations_percent_change_from_baseline,-6.0
Lane Cove Municipal Council,transit_stations_percent_change_from_baseline,-23.0
Leeton Shire Council,transit_stations_percent_change_from_baseline,
Lismore City Council,transit_stations_percent_change_from_baseline,
Lithgow City Council,transit_stations_percent_change_from_baseline,
Maitland City Council,transit_stations_percent_change_from_baseline,-35.0
Mid-Western Regional Council,transit_stations_percent_change_from_baseline,
MidCoast Council,transit_stations_percent_change_from_baseline,-14.0
Mosman Municipal Council,transit_stations_percent_change_from_baseline,-26.0
Muswellbrook Shire Council,transit_stations_percent_change_from_baseline,
Nambucca Shire Council,transit_stations_percent_change_from_baseline,
Newcastle City Council,transit_stations_percent_change_from_baseline,-23.0
North Sydney Council,transit_stations_percent_change_from_baseline,-37.0
Northern Beaches Council,transit_stations_percent_change_from_baseline,-34.0
Orange City Council,transit_stations_percent_change_from_baseline,
Palerang Council,transit_stations_percent_change_from_baseline,
Parkes Shire Council,transit_stations_percent_change_from_baseline,
Penrith City Council,transit_stations_percent_change_from_baseline,-1.0
Port Macquarie-Hastings Council,transit_stations_percent_change_from_baseline,-35.0
Port Stephens Council,transit_stations_percent_change_from_baseline,-12.0
Queanbeyan City Council,transit_stations_percent_change_from_baseline,
Randwick City Council,transit_stations_percent_change_from_baseline,-7.0
Richmond Valley Council,transit_stations_percent_change_from_baseline,
Shellharbour City Council,transit_stations_percent_change_from_baseline,-13.0
Singleton Shire Council,transit_stations_percent_change_from_baseline,
Strathfield Municipal Council,transit_stations_percent_change_from_baseline,-5.0
Sutherland Shire,transit_stations_percent_change_from_baseline,-18.0
Tamworth Regional Council,transit_stations_percent_change_from_baseline,-1.0
The Council of the Municipality of Hunters Hill,transit_stations_percent_change_from_baseline,
The Council of the Municipality of Kiama,transit_stations_percent_change_from_baseline,-11.0
The Council of the Shire of Hornsby,transit_stations_percent_change_from_baseline,-16.0
The Hills Shire,transit_stations_percent_change_from_baseline,-13.0
Tumut Council,transit_stations_percent_change_from_baseline,
Tweed Shire Council,transit_stations_percent_change_from_baseline,-2.0
Wagga Wagga City Council,transit_stations_percent_change_from_baseline,-9.0
Waverley Council,transit_stations_percent_change_from_baseline,-33.0
Wingecarribee Shire Council,transit_stations_percent_change_from_baseline,-15.0
Wollondilly Shire Council,transit_stations_percent_change_from_baseline,-13.0
Wollongong City Council,transit_stations_percent_change_from_baseline,-27.0
Woollahra Municipal Council,transit_stations_percent_change_from_baseline,-18.0
Wyong Shire Council,transit_stations_percent_change_from_baseline,-24.0
Yass Valley Council,transit_stations_percent_change_from_baseline,
Young Shire Council,transit_stations_percent_change_from_baseline,
Alice Springs Municipality,transit_stations_percent_change_from_baseline,-57.0
Darwin Municipality,transit_stations_percent_change_from_baseline,-5.0
Katherine Municipality,transit_stations_percent_change_from_baseline,
Litchfield Municipality,transit_stations_percent_change_from_baseline,
Palmerston Municipality,transit_stations_percent_change_from_baseline,-46.0
Banana Shire,transit_stations_percent_change_from_baseline,
Brisbane City,transit_stations_percent_change_from_baseline,-26.0
Bundaberg Regional,transit_stations_percent_change_from_baseline,-16.0
Burdekin Shire,transit_stations_percent_change_from_baseline,
Cairns Regional,transit_stations_percent_change_from_baseline,-33.0
Cassowary Coast Regional,transit_stations_percent_change_from_baseline,
Central Highlands Regional,transit_stations_percent_change_from_baseline,
City of Gold Coast,transit_stations_percent_change_from_baseline,-28.0
City of Ipswich,transit_stations_percent_change_from_baseline,-5.0
Douglas Shire,transit_stations_percent_change_from_baseline,
Fraser Coast Regional,transit_stations_percent_change_from_baseline,-40.0
Gladstone Regional,transit_stations_percent_change_from_baseline,-8.0
Gympie Regional,transit_stations_percent_change_from_baseline,
Isaac Regional,transit_stations_percent_change_from_baseline,
Livingstone Shire,transit_stations_percent_change_from_baseline,
Lockyer Valley Regional,transit_stations_percent_change_from_baseline,
Logan City,transit_stations_percent_change_from_baseline,-8.0
Mackay Regional,transit_stations_percent_change_from_baseline,14.0
Maranoa Regional,transit_stations_percent_change_from_baseline,
Mareeba Shire,transit_stations_percent_change_from_baseline,
Moreton Bay Region,transit_stations_percent_change_from_baseline,-16.0
Mount Isa City,transit_stations_percent_change_from_baseline,
Noosa Shire,transit_stations_percent_change_from_baseline,16.0
Redland City,transit_stations_percent_change_from_baseline,-20.0
Rockhampton Regional,transit_stations_percent_change_from_baseline,-23.0
Scenic Rim Regional,transit_stations_percent_change_from_baseline,
Somerset Regional,transit_stations_percent_change_from_baseline,
South Burnett Regional,transit_stations_percent_change_from_baseline,
Southern Downs Regional,transit_stations_percent_change_from_baseline,
Sunshine Coast Regional,transit_stations_percent_change_from_baseline,-23.0
Tablelands Regional,transit_stations_percent_change_from_baseline,
Toowoomba Regional,transit_stations_percent_change_from_baseline,-52.0
Townsville City,transit_stations_percent_change_from_baseline,4.0
Western Downs Regional,transit_stations_percent_change_from_baseline,
Whitsunday Regional,transit_stations_percent_change_from_baseline,-13.0
Adelaide City Council,transit_stations_percent_change_from_baseline,-3.0
Adelaide Hills Council,transit_stations_percent_change_from_baseline,
Alexandrina Council,transit_stations_percent_change_from_baseline,
Campbelltown City Council,transit_stations_percent_change_from_baseline,1.0
City of Burnside,transit_stations_percent_change_from_baseline,
City of Charles Sturt,transit_stations_percent_change_from_baseline,12.0
City of Holdfast Bay,transit_stations_percent_change_from_baseline,-22.0
City of Marion,transit_stations_percent_change_from_baseline,-3.0
City of Mitcham,transit_stations_percent_change_from_baseline,34.0
City of Mount Gambier,transit_stations_percent_change_from_baseline,
City of Onkaparinga,transit_stations_percent_change_from_baseline,13.0
City of Playford,transit_stations_percent_change_from_baseline,-21.0
City of Port Adelaide Enfield,transit_stations_percent_change_from_baseline,-3.0
City of Port Lincoln,transit_stations_percent_change_from_baseline,
City of Prospect,transit_stations_percent_change_from_baseline,
City of Salisbury,transit_stations_percent_change_from_baseline,-30.0
City of Tea Tree Gully,transit_stations_percent_change_from_baseline,-1.0
City of Unley,transit_stations_percent_change_from_baseline,-9.0
City of Victor Harbor,transit_stations_percent_change_from_baseline,
City of West Torrens,transit_stations_percent_change_from_baseline,-24.0
District Council of Loxton Waikerie,transit_stations_percent_change_from_baseline,
District Council of Mallala,transit_stations_percent_change_from_baseline,
District Council of Mount Barker,transit_stations_percent_change_from_baseline,
District Council of the Copper Coast,transit_stations_percent_change_from_baseline,
Light Regional Council,transit_stations_percent_change_from_baseline,
Port Augusta City Council,transit_stations_percent_change_from_baseline,
Port Pirie Regional Council,transit_stations_percent_change_from_baseline,
Renmark Paringa Council,transit_stations_percent_change_from_baseline,
The Barossa Council,transit_stations_percent_change_from_baseline,
The Berri Barmera Council,transit_stations_percent_change_from_baseline,
The City of Norwood Payneham and St Peters,transit_stations_percent_change_from_baseline,
The Corporation of the City of Whyalla,transit_stations_percent_change_from_baseline,
The Rural City of Murray Bridge,transit_stations_percent_change_from_baseline,
Town of Gawler,transit_stations_percent_change_from_baseline,-45.0
Break O'Day Council,transit_stations_percent_change_from_baseline,
Brighton Council,transit_stations_percent_change_from_baseline,
Burnie City Council,transit_stations_percent_change_from_baseline,
Central Coast Council,transit_stations_percent_change_from_baseline,
Clarence City Council,transit_stations_percent_change_from_baseline,-15.0
Derwent Valley Council,transit_stations_percent_change_from_baseline,
Devonport City Council,transit_stations_percent_change_from_baseline,
Glamorgan-Spring Bay Council,transit_stations_percent_change_from_baseline,
Glenorchy City Council,transit_stations_percent_change_from_baseline,
Hobart City Council,transit_stations_percent_change_from_baseline,-19.0
Huon Valley Council,transit_stations_percent_change_from_baseline,
Kingborough Council,transit_stations_percent_change_from_baseline,-21.0
Latrobe Council,transit_stations_percent_change_from_baseline,
Launceston City Council,transit_stations_percent_change_from_baseline,
Meander Valley Council,transit_stations_percent_change_from_baseline,
Northern Midlands Council,transit_stations_percent_change_from_baseline,-26.0
Sorell Council,transit_stations_percent_change_from_baseline,
Waratah-Wynyard Council,transit_stations_percent_change_from_baseline,
West Tamar Council,transit_stations_percent_change_from_baseline,
Alpine Shire,transit_stations_percent_change_from_baseline,
Ballarat City,transit_stations_percent_change_from_baseline,-34.0
Banyule City,transit_stations_percent_change_from_baseline,-24.0
Bass Coast Shire,transit_stations_percent_change_from_baseline,
Baw Baw Shire,transit_stations_percent_change_from_baseline,
Bayside City,transit_stations_percent_change_from_baseline,-53.0
Benalla Rural City,transit_stations_percent_change_from_baseline,
Boroondara City,transit_stations_percent_change_from_baseline,-31.0
Brimbank City,transit_stations_percent_change_from_baseline,-31.0
Campaspe Shire,transit_stations_percent_change_from_baseline,
Cardinia Shire,transit_stations_percent_change_from_baseline,5.0
Central Goldfields Shire,transit_stations_percent_change_from_baseline,
City of Casey,transit_stations_percent_change_from_baseline,4.0
City of Hume,transit_stations_percent_change_from_baseline,-52.0
City of Knox,transit_stations_percent_change_from_baseline,-10.0
City of Maribyrnong,transit_stations_percent_change_from_baseline,-38.0
City of Wyndham,transit_stations_percent_change_from_baseline,-39.0
City of Yarra,transit_stations_percent_change_from_baseline,-40.0
Colac Otway Shire,transit_stations_percent_change_from_baseline,
Corangamite Shire,transit_stations_percent_change_from_baseline,
Darebin City,transit_stations_percent_change_from_baseline,-31.0
East Gippsland Shire,transit_stations_percent_change_from_baseline,
Frankston City,transit_stations_percent_change_from_baseline,-11.0
Glen Eira City,transit_stations_percent_change_from_baseline,-52.0
Glenelg Shire,transit_stations_percent_change_from_baseline,
Golden Plains Shire,transit_stations_percent_change_from_baseline,
Greater Bendigo City,transit_stations_percent_change_from_baseline,10.0
Greater Dandenong City,transit_stations_percent_change_from_baseline,-25.0
Greater Geelong City,transit_stations_percent_change_from_baseline,-27.0
Greater Shepparton City,transit_stations_percent_change_from_baseline,
Hepburn Shire,transit_stations_percent_change_from_baseline,
Hobsons Bay City,transit_stations_percent_change_from_baseline,-34.0
Horsham Rural City,transit_stations_percent_change_from_baseline,
Indigo Shire,transit_stations_percent_change_from_baseline,
Kingston City,transit_stations_percent_change_from_baseline,-16.0
Latrobe City,transit_stations_percent_change_from_baseline,-10.0
Macedon Ranges Shire,transit_stations_percent_change_from_baseline,-28.0
Manningham City,transit_stations_percent_change_from_baseline,-22.0
Maroondah City,transit_stations_percent_change_from_baseline,-25.0
Melbourne City,transit_stations_percent_change_from_baseline,-46.0
Melton City,transit_stations_percent_change_from_baseline,-31.0
Mildura Rural City,transit_stations_percent_change_from_baseline,-16.0
Mitchell Shire,transit_stations_percent_change_from_baseline,-25.0
Moira Shire,transit_stations_percent_change_from_baseline,
Monash City,transit_stations_percent_change_from_baseline,-33.0
Moonee Valley City,transit_stations_percent_change_from_baseline,-33.0
Moorabool Shire,transit_stations_percent_change_from_baseline,-33.0
Moreland City,transit_stations_percent_change_from_baseline,-40.0
Mount Alexander Shire,transit_stations_percent_change_from_baseline,
Moyne Shire,transit_stations_percent_change_from_baseline,
Murrindindi Shire,transit_stations_percent_change_from_baseline,
Nillumbik Shire,transit_stations_percent_change_from_baseline,-20.0
Northern Grampians Shire,transit_stations_percent_change_from_baseline,
Port Phillip City,transit_stations_percent_change_from_baseline,-52.0
Shire of Mornington Peninsula,transit_stations_percent_change_from_baseline,-20.0
South Gippsland Shire,transit_stations_percent_change_from_baseline,
Southern Grampians Shire,transit_stations_percent_change_from_baseline,
Stonnington City,transit_stations_percent_change_from_baseline,-45.0
Surf Coast Shire,transit_stations_percent_change_from_baseline,
Swan Hill Rural City,transit_stations_percent_change_from_baseline,
Wangaratta Rural City,transit_stations_percent_change_from_baseline,
Warrnambool City,transit_stations_percent_change_from_baseline,
Wellington Shire,transit_stations_percent_change_from_baseline,
Whitehorse City,transit_stations_percent_change_from_baseline,-17.0
Whittlesea City,transit_stations_percent_change_from_baseline,-22.0
Wodonga City,transit_stations_percent_change_from_baseline,
Yarra Ranges Shire,transit_stations_percent_change_from_baseline,-32.0
City of Albany,transit_stations_percent_change_from_baseline,
City of Armadale,transit_stations_percent_change_from_baseline,-27.0
City of Bayswater,transit_stations_percent_change_from_baseline,-12.0
City of Belmont,transit_stations_percent_change_from_baseline,-32.0
City of Bunbury,transit_stations_percent_change_from_baseline,-52.0
City of Busselton,transit_stations_percent_change_from_baseline,
City of Canning,transit_stations_percent_change_from_baseline,-32.0
City of Cockburn,transit_stations_percent_change_from_baseline,-6.0
City of Fremantle,transit_stations_percent_change_from_baseline,-48.0
City of Gosnells,transit_stations_percent_change_from_baseline,-26.0
City of Greater Geraldton,transit_stations_percent_change_from_baseline,-21.0
City of Joondalup,transit_stations_percent_change_from_baseline,-31.0
City of Kalamunda,transit_stations_percent_change_from_baseline,-51.0
City of Kalgoorlie-Boulder,transit_stations_percent_change_from_baseline,-5.0
City of Karratha,transit_stations_percent_change_from_baseline,-26.0
City of Kwinana,transit_stations_percent_change_from_baseline,-18.0
City of Mandurah,transit_stations_percent_change_from_baseline,-33.0
City of Melville,transit_stations_percent_change_from_baseline,-42.0
City of Nedlands,transit_stations_percent_change_from_baseline,
City of Perth,transit_stations_percent_change_from_baseline,-47.0
City of Rockingham,transit_stations_percent_change_from_baseline,-38.0
City of South Perth,transit_stations_percent_change_from_baseline,-32.0
City of Stirling,transit_stations_percent_change_from_baseline,-41.0
City of Subiaco,transit_stations_percent_change_from_baseline,-32.0
City of Swan,transit_stations_percent_change_from_baseline,-42.0
City of Vincent,transit_stations_percent_change_from_baseline,-37.0
City of Wanneroo,transit_stations_percent_change_from_baseline,-33.0
Shire of Ashburton,transit_stations_percent_change_from_baseline,
Shire of Augusta-Margaret River,transit_stations_percent_change_from_baseline,
Shire of Broome,transit_stations_percent_change_from_baseline,
Shire of Capel,transit_stations_percent_change_from_baseline,
Shire of Dardanup,transit_stations_percent_change_from_baseline,
Shire of East Pilbara,transit_stations_percent_change_from_baseline,19.0
Shire of Esperance,transit_stations_percent_change_from_baseline,
Shire of Harvey,transit_stations_percent_change_from_baseline,
Shire of Mundaring,transit_stations_percent_change_from_baseline,
Shire of Murray,transit_stations_percent_change_from_baseline,
Shire of Northam,transit_stations_percent_change_from_baseline,
Shire of Serpentine-Jarrahdale,transit_stations_percent_change_from_baseline,
Town of Bassendean,transit_stations_percent_change_from_baseline,-29.0
Town of Cambridge,transit_stations_percent_change_from_baseline,-51.0
Town of Claremont,transit_stations_percent_change_from_baseline,
Town of Cottesloe,transit_stations_percent_change_from_baseline,
Town of Port Hedland,transit_stations_percent_change_from_baseline,-20.0
Town of Victoria Park,transit_stations_percent_change_from_baseline,-34.0
Armidale Dumaresq Council,workplaces_percent_change_from_baseline,1.0
Ballina Shire Council,workplaces_percent_change_from_baseline,11.0
Bankstown City Council,workplaces_percent_change_from_baseline,-8.0
Bathurst Regional Council,workplaces_percent_change_from_baseline,3.0
Bayside Council,workplaces_percent_change_from_baseline,-19.0
Bega Valley Shire Council,workplaces_percent_change_from_baseline,9.0
Bellingen Shire Council,workplaces_percent_change_from_baseline,13.0
Blue Mountains City Council,workplaces_percent_change_from_baseline,-1.0
Broken Hill City Council,workplaces_percent_change_from_baseline,11.0
Burwood Council,workplaces_percent_change_from_baseline,-16.0
Byron Shire Council,workplaces_percent_change_from_baseline,-13.0
Cabonne Shire Council,workplaces_percent_change_from_baseline,-5.0
Camden Council,workplaces_percent_change_from_baseline,0.0
Campbelltown City Council,workplaces_percent_change_from_baseline,7.0
Canterbury City Council,workplaces_percent_change_from_baseline,-11.0
Cessnock City Council,workplaces_percent_change_from_baseline,10.0
City of Albury,workplaces_percent_change_from_baseline,2.0
City of Blacktown,workplaces_percent_change_from_baseline,-9.0
City of Canada Bay Council,workplaces_percent_change_from_baseline,-19.0
City of Lake Macquarie,workplaces_percent_change_from_baseline,1.0
City of Liverpool,workplaces_percent_change_from_baseline,4.0
City of Parramatta Council,workplaces_percent_change_from_baseline,-23.0
City of Ryde,workplaces_percent_change_from_baseline,-5.0
City of Shoalhaven,workplaces_percent_change_from_baseline,12.0
City of Willoughby,workplaces_percent_change_from_baseline,-18.0
Clarence Valley Council,workplaces_percent_change_from_baseline,11.0
Coffs Harbour City Council,workplaces_percent_change_from_baseline,2.0
Cooma-Monaro Council,workplaces_percent_change_from_baseline,17.0
Corowa Shire Council,workplaces_percent_change_from_baseline,4.0
Council of the City of Sydney,workplaces_percent_change_from_baseline,-20.0
Cowra Shire Council,workplaces_percent_change_from_baseline,11.0
Cumberland Council,workplaces_percent_change_from_baseline,-17.0
Dubbo City Council,workplaces_percent_change_from_baseline,7.0
Eurobodalla Shire Council,workplaces_percent_change_from_baseline,11.0
Fairfield City Council,workplaces_percent_change_from_baseline,-1.0
Goulburn Mulwaree Council,workplaces_percent_change_from_baseline,9.0
Griffith City Council,workplaces_percent_change_from_baseline,9.0
Gunnedah Shire Council,workplaces_percent_change_from_baseline,1.0
Hawkesbury City Council,workplaces_percent_change_from_baseline,-3.0
Hurstville City Council,workplaces_percent_change_from_baseline,-15.0
Inner West Council,workplaces_percent_change_from_baseline,-27.0
Inverell Shire Council,workplaces_percent_change_from_baseline,32.0
Kempsey Shire Council,workplaces_percent_change_from_baseline,6.0
Kogarah City Council,workplaces_percent_change_from_baseline,-13.0
Ku-ring-gai Council,workplaces_percent_change_from_baseline,-8.0
Lane Cove Municipal Council,workplaces_percent_change_from_baseline,-21.0
Leeton Shire Council,workplaces_percent_change_from_baseline,6.0
Lismore City Council,workplaces_percent_change_from_baseline,11.0
Lithgow City Council,workplaces_percent_change_from_baseline,6.0
Maitland City Council,workplaces_percent_change_from_baseline,1.0
Mid-Western Regional Council,workplaces_percent_change_from_baseline,5.0
MidCoast Council,workplaces_percent_change_from_baseline,13.0
Mosman Municipal Council,workplaces_percent_change_from_baseline,-13.0
Muswellbrook Shire Council,workplaces_percent_change_from_baseline,6.0
Nambucca Shire Council,workplaces_percent_change_from_baseline,17.0
Newcastle City Council,workplaces_percent_change_from_baseline,-3.0
North Sydney Council,workplaces_percent_change_from_baseline,-28.0
Northern Beaches Council,workplaces_percent_change_from_baseline,-13.0
Orange City Council,workplaces_percent_change_from_baseline,5.0
Palerang Council,workplaces_percent_change_from_baseline,-3.0
Parkes Shire Council,workplaces_percent_change_from_baseline,1.0
Penrith City Council,workplaces_percent_change_from_baseline,-3.0
Port Macquarie-Hastings Council,workplaces_percent_change_from_baseline,8.0
Port Stephens Council,workplaces_percent_change_from_baseline,7.0
Queanbeyan City Council,workplaces_percent_change_from_baseline,5.0
Randwick City Council,workplaces_percent_change_from_baseline,-14.0
Richmond Valley Council,workplaces_percent_change_from_baseline,2.0
Shellharbour City Council,workplaces_percent_change_from_baseline,4.0
Singleton Shire Council,workplaces_percent_change_from_baseline,14.0
Strathfield Municipal Council,workplaces_percent_change_from_baseline,-24.0
Sutherland Shire,workplaces_percent_change_from_baseline,-13.0
Tamworth Regional Council,workplaces_percent_change_from_baseline,6.0
The Council of the Municipality of Hunters Hill,workplaces_percent_change_from_baseline,-6.0
The Council of the Municipality of Kiama,workplaces_percent_change_from_baseline,-1.0
The Council of the Shire of Hornsby,workplaces_percent_change_from_baseline,-12.0
The Hills Shire,workplaces_percent_change_from_baseline,-3.0
Tumut Council,workplaces_percent_change_from_baseline,6.0
Tweed Shire Council,workplaces_percent_change_from_baseline,-1.0
Wagga Wagga City Council,workplaces_percent_change_from_baseline,8.0
Waverley Council,workplaces_percent_change_from_baseline,-26.0
Wingecarribee Shire Council,workplaces_percent_change_from_baseline,13.0
Wollondilly Shire Council,workplaces_percent_change_from_baseline,-1.0
Wollongong City Council,workplaces_percent_change_from_baseline,-4.0
Woollahra Municipal Council,workplaces_percent_change_from_baseline,-24.0
Wyong Shire Council,workplaces_percent_change_from_baseline,-2.0
Yass Valley Council,workplaces_percent_change_from_baseline,-2.0
Young Shire Council,workplaces_percent_change_from_baseline,18.0
Alice Springs Municipality,workplaces_percent_change_from_baseline,11.0
Darwin Municipality,workplaces_percent_change_from_baseline,15.0
Katherine Municipality,workplaces_percent_change_from_baseline,11.0
Litchfield Municipality,workplaces_percent_change_from_baseline,10.0
Palmerston Municipality,workplaces_percent_change_from_baseline,13.0
Banana Shire,workplaces_percent_change_from_baseline,0.0
Brisbane City,workplaces_percent_change_from_baseline,-9.0
Bundaberg Regional,workplaces_percent_change_from_baseline,12.0
Burdekin Shire,workplaces_percent_change_from_baseline,7.0
Cairns Regional,workplaces_percent_change_from_baseline,10.0
Cassowary Coast Regional,workplaces_percent_change_from_baseline,17.0
Central Highlands Regional,workplaces_percent_change_from_baseline,-4.0
City of Gold Coast,workplaces_percent_change_from_baseline,-2.0
City of Ipswich,workplaces_percent_change_from_baseline,0.0
Douglas Shire,workplaces_percent_change_from_baseline,14.0
Fraser Coast Regional,workplaces_percent_change_from_baseline,7.0
Gladstone Regional,workplaces_percent_change_from_baseline,7.0
Gympie Regional,workplaces_percent_change_from_baseline,9.0
Isaac Regional,workplaces_percent_change_from_baseline,-7.0
Livingstone Shire,workplaces_percent_change_from_baseline,4.0
Lockyer Valley Regional,workplaces_percent_change_from_baseline,3.0
Logan City,workplaces_percent_change_from_baseline,4.0
Mackay Regional,workplaces_percent_change_from_baseline,13.0
Maranoa Regional,workplaces_percent_change_from_baseline,1.0
Mareeba Shire,workplaces_percent_change_from_baseline,2.0
Moreton Bay Region,workplaces_percent_change_from_baseline,-3.0
Mount Isa City,workplaces_percent_change_from_baseline,-9.0
Noosa Shire,workplaces_percent_change_from_baseline,2.0
Redland City,workplaces_percent_change_from_baseline,-3.0
Rockhampton Regional,workplaces_percent_change_from_baseline,3.0
Scenic Rim Regional,workplaces_percent_change_from_baseline,6.0
Somerset Regional,workplaces_percent_change_from_baseline,11.0
South Burnett Regional,workplaces_percent_change_from_baseline,4.0
Southern Downs Regional,workplaces_percent_change_from_baseline,13.0
Sunshine Coast Regional,workplaces_percent_change_from_baseline,0.0
Tablelands Regional,workplaces_percent_change_from_baseline,11.0
Toowoomba Regional,workplaces_percent_change_from_baseline,6.0
Townsville City,workplaces_percent_change_from_baseline,5.0
Western Downs Regional,workplaces_percent_change_from_baseline,9.0
Whitsunday Regional,workplaces_percent_change_from_baseline,4.0
Adelaide City Council,workplaces_percent_change_from_baseline,5.0
Adelaide Hills Council,workplaces_percent_change_from_baseline,-4.0
Alexandrina Council,workplaces_percent_change_from_baseline,11.0
Campbelltown City Council,workplaces_percent_change_from_baseline,-2.0
City of Burnside,workplaces_percent_change_from_baseline,7.0
City of Charles Sturt,workplaces_percent_change_from_baseline,-7.0
City of Holdfast Bay,workplaces_percent_change_from_baseline,-6.0
City of Marion,workplaces_percent_change_from_baseline,4.0
City of Mitcham,workplaces_percent_change_from_baseline,-1.0
City of Mount Gambier,workplaces_percent_change_from_baseline,3.0
City of Onkaparinga,workplaces_percent_change_from_baseline,-4.0
City of Playford,workplaces_percent_change_from_baseline,9.0
City of Port Adelaide Enfield,workplaces_percent_change_from_baseline,-3.0
City of Port Lincoln,workplaces_percent_change_from_baseline,5.0
City of Prospect,workplaces_percent_change_from_baseline,3.0
City of Salisbury,workplaces_percent_change_from_baseline,5.0
City of Tea Tree Gully,workplaces_percent_change_from_baseline,3.0
City of Unley,workplaces_percent_change_from_baseline,2.0
City of Victor Harbor,workplaces_percent_change_from_baseline,20.0
City of West Torrens,workplaces_percent_change_from_baseline,-2.0
District Council of Loxton Waikerie,workplaces_percent_change_from_baseline,1.0
District Council of Mallala,workplaces_percent_change_from_baseline,7.0
District Council of Mount Barker,workplaces_percent_change_from_baseline,11.0
District Council of the Copper Coast,workplaces_percent_change_from_baseline,8.0
Light Regional Council,workplaces_percent_change_from_baseline,8.0
Port Augusta City Council,workplaces_percent_change_from_baseline,8.0
Port Pirie Regional Council,workplaces_percent_change_from_baseline,11.0
Renmark Paringa Council,workplaces_percent_change_from_baseline,2.0
The Barossa Council,workplaces_percent_change_from_baseline,10.0
The Berri Barmera Council,workplaces_percent_change_from_baseline,2.0
The City of Norwood Payneham and St Peters,workplaces_percent_change_from_baseline,-1.0
The Corporation of the City of Whyalla,workplaces_percent_change_from_baseline,3.0
The Rural City of Murray Bridge,workplaces_percent_change_from_baseline,10.0
Town of Gawler,workplaces_percent_change_from_baseline,3.0
Break O'Day Council,workplaces_percent_change_from_baseline,
Brighton Council,workplaces_percent_change_from_baseline,16.0
Burnie City Council,workplaces_percent_change_from_baseline,11.0
Central Coast Council,workplaces_percent_change_from_baseline,9.0
Clarence City Council,workplaces_percent_change_from_baseline,14.0
Derwent Valley Council,workplaces_percent_change_from_baseline,13.0
Devonport City Council,workplaces_percent_change_from_baseline,10.0
Glamorgan-Spring Bay Council,workplaces_percent_change_from_baseline,
Glenorchy City Council,workplaces_percent_change_from_baseline,6.0
Hobart City Council,workplaces_percent_change_from_baseline,9.0
Huon Valley Council,workplaces_percent_change_from_baseline,9.0
Kingborough Council,workplaces_percent_change_from_baseline,13.0
Latrobe Council,workplaces_percent_change_from_baseline,10.0
Launceston City Council,workplaces_percent_change_from_baseline,15.0
Meander Valley Council,workplaces_percent_change_from_baseline,13.0
Northern Midlands Council,workplaces_percent_change_from_baseline,4.0
Sorell Council,workplaces_percent_change_from_baseline,3.0
Waratah-Wynyard Council,workplaces_percent_change_from_baseline,20.0
West Tamar Council,workplaces_percent_change_from_baseline,9.0
Alpine Shire,workplaces_percent_change_from_baseline,7.0
Ballarat City,workplaces_percent_change_from_baseline,3.0
Banyule City,workplaces_percent_change_from_baseline,-20.0
Bass Coast Shire,workplaces_percent_change_from_baseline,1.0
Baw Baw Shire,workplaces_percent_change_from_baseline,6.0
Bayside City,workplaces_percent_change_from_baseline,-23.0
Benalla Rural City,workplaces_percent_change_from_baseline,11.0
Boroondara City,workplaces_percent_change_from_baseline,-27.0
